pid,grp,duration
534,Pre-like status,176
534,Sent like,2
534,Match,1
534,Conversation in app,-99
535,Pre-like status,176
535,Sent like,1
535,Match,-99
536,Pre-like status,176
536,Sent like,1
536,Match,1
536,Conversation in app,2
536,First date,7
536,Second date,7
536,Dating,15
536,Ended,-99
537,Pre-like status,176
537,Sent like,-99
538,Pre-like status,176
538,Sent like,-99
539,Pre-like status,176
539,Sent like,-99
540,Pre-like status,176
540,Sent like,-99
541,Pre-like status,176
541,Sent like,-99
542,Pre-like status,176
542,Sent like,-99
543,Pre-like status,176
543,Sent like,-99
544,Pre-like status,176
544,Sent like,-99
545,Pre-like status,177
545,Sent like,9
545,Match,1
545,Conversation in app,-99
546,Pre-like status,179
546,Sent like,-99
547,Pre-like status,179
547,Sent like,-99
548,Pre-like status,179
548,Sent like,-99
549,Pre-like status,179
549,Sent like,-99
550,Pre-like status,179
550,Sent like,-99
551,Pre-like status,179
551,Sent like,-99
552,Pre-like status,179
552,Sent like,-99
553,Pre-liked me status,179
553,Liked me,-99
554,Pre-liked me status,179
554,Liked me,-99
555,Pre-liked me status,179
555,Liked me,-99
556,Pre-like status,179
556,Sent like,-99
557,Pre-like status,180
557,Sent like,-99
558,Pre-like status,180
558,Sent like,-99
559,Pre-like status,180
559,Sent like,-99
560,Pre-like status,180
560,Sent like,-99
561,Pre-liked me status,180
561,Liked me,-99
562,Pre-liked me status,180
562,Liked me,-99
563,Pre-liked me status,180
563,Liked me,-99
564,Pre-liked me status,180
564,Liked me,1
564,Match,1
564,Conversation in app,-99
565,Pre-liked me status,180
565,Liked me,-99
566,Pre-liked me status,180
566,Liked me,-99
567,Pre-like status,181
567,Sent like,-99
568,Pre-like status,181
568,Sent like,-99
569,Pre-liked me status,181
569,Liked me,-99
570,Pre-liked me status,181
570,Liked me,-99
571,Pre-like status,181
571,Sent like,-99
572,Pre-like status,181
572,Sent like,-99
573,Pre-like status,181
573,Sent like,-99
574,Pre-like status,181
574,Sent like,6
574,Match,0
574,Conversation in app,-99
575,Pre-liked me status,181
575,Liked me,-99
576,Pre-like status,181
576,Sent like,-99
577,Pre-like status,181
577,Sent like,-99
578,Pre-like status,181
578,Sent like,-99
579,Pre-like status,182
579,Sent like,-99
580,Pre-liked me status,182
580,Liked me,-99
581,Pre-liked me status,182
581,Liked me,-99
582,Pre-liked me status,182
582,Liked me,-99
583,Pre-liked me status,182
583,Liked me,-99
