loss,likelihood,loss_event,color
136936.937,0.23144,Ransomware,'#8dd3c7'
137297.2973,0.22968,Ransomware,'#8dd3c7'
137657.6577,0.2288,Ransomware,'#8dd3c7'
138018.0181,0.22737,Ransomware,'#8dd3c7'
138378.3784,0.22539,Ransomware,'#8dd3c7'
138738.7388,0.22429,Ransomware,'#8dd3c7'
139099.0991,0.22242,Ransomware,'#8dd3c7'
139459.4595,0.2211,Ransomware,'#8dd3c7'
139819.8199,0.22033,Ransomware,'#8dd3c7'
140180.1802,0.21879,Ransomware,'#8dd3c7'
140540.5406,0.21703,Ransomware,'#8dd3c7'
140900.9009,0.21571,Ransomware,'#8dd3c7'
141261.2613,0.21439,Ransomware,'#8dd3c7'
141621.6217,0.2134,Ransomware,'#8dd3c7'
141981.982,0.21153,Ransomware,'#8dd3c7'
142342.3424,0.21054,Ransomware,'#8dd3c7'
142702.7027,0.20878,Ransomware,'#8dd3c7'
143063.0631,0.20724,Ransomware,'#8dd3c7'
143423.4235,0.20647,Ransomware,'#8dd3c7'
143783.7838,0.20427,Ransomware,'#8dd3c7'
144144.1442,0.20262,Ransomware,'#8dd3c7'
144504.5045,0.20185,Ransomware,'#8dd3c7'
144864.8649,0.20031,Ransomware,'#8dd3c7'
145225.2253,0.19932,Ransomware,'#8dd3c7'
145585.5856,0.19701,Ransomware,'#8dd3c7'
145945.946,0.19525,Ransomware,'#8dd3c7'
146306.3063,0.19393,Ransomware,'#8dd3c7'
146666.6667,0.19261,Ransomware,'#8dd3c7'
147027.0271,0.1914,Ransomware,'#8dd3c7'
147387.3874,0.18997,Ransomware,'#8dd3c7'
147747.7478,0.18865,Ransomware,'#8dd3c7'
148108.1081,0.18766,Ransomware,'#8dd3c7'
148468.4685,0.18623,Ransomware,'#8dd3c7'
148828.8289,0.18546,Ransomware,'#8dd3c7'
149189.1892,0.18414,Ransomware,'#8dd3c7'
149549.5496,0.18238,Ransomware,'#8dd3c7'
149909.9099,0.18205,Ransomware,'#8dd3c7'
150270.2703,0.18062,Ransomware,'#8dd3c7'
150630.6307,0.1793,Ransomware,'#8dd3c7'
150990.991,0.17853,Ransomware,'#8dd3c7'
151351.3514,0.1771,Ransomware,'#8dd3c7'
151711.7117,0.17655,Ransomware,'#8dd3c7'
152072.0721,0.1749,Ransomware,'#8dd3c7'
152432.4325,0.17358,Ransomware,'#8dd3c7'
152792.7928,0.17215,Ransomware,'#8dd3c7'
153153.1532,0.17127,Ransomware,'#8dd3c7'
153513.5135,0.1694,Ransomware,'#8dd3c7'
153873.8739,0.16885,Ransomware,'#8dd3c7'
154234.2343,0.16786,Ransomware,'#8dd3c7'
154594.5946,0.16698,Ransomware,'#8dd3c7'
154954.955,0.16665,Ransomware,'#8dd3c7'
155315.3153,0.16555,Ransomware,'#8dd3c7'
155675.6757,0.16412,Ransomware,'#8dd3c7'
156036.0361,0.1628,Ransomware,'#8dd3c7'
156396.3964,0.16247,Ransomware,'#8dd3c7'
156756.7568,0.16126,Ransomware,'#8dd3c7'
157117.1171,0.16016,Ransomware,'#8dd3c7'
157477.4775,0.15917,Ransomware,'#8dd3c7'
157837.8379,0.15818,Ransomware,'#8dd3c7'
158198.1982,0.15741,Ransomware,'#8dd3c7'
158558.5586,0.15609,Ransomware,'#8dd3c7'
158918.9189,0.15444,Ransomware,'#8dd3c7'
159279.2793,0.15312,Ransomware,'#8dd3c7'
159639.6397,0.15147,Ransomware,'#8dd3c7'
160000,0.15026,Ransomware,'#8dd3c7'
160360.3604,0.14905,Ransomware,'#8dd3c7'
160720.7207,0.14795,Ransomware,'#8dd3c7'
161081.0811,0.14718,Ransomware,'#8dd3c7'
161441.4415,0.14597,Ransomware,'#8dd3c7'
161801.8018,0.14509,Ransomware,'#8dd3c7'
162162.1622,0.14421,Ransomware,'#8dd3c7'
162522.5225,0.14355,Ransomware,'#8dd3c7'
162882.8829,0.14245,Ransomware,'#8dd3c7'
163243.2433,0.14135,Ransomware,'#8dd3c7'
163603.6036,0.14014,Ransomware,'#8dd3c7'
163963.964,0.13904,Ransomware,'#8dd3c7'
164324.3243,0.13805,Ransomware,'#8dd3c7'
164684.6847,0.13717,Ransomware,'#8dd3c7'
